latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
45.20741,19.70671,301.45,0.39,0.37,2022-08-31,0048,1,nominal,2.0NRT,289.25,0.65,N
45.45128,18.03486,303.73,0.38,0.36,2022-08-31,0048,1,nominal,2.0NRT,288.79,0.69,N
44.74129,21.24199,301.22,0.43,0.38,2022-08-31,0048,1,nominal,2.0NRT,288.24,0.54,N
43.23288,27.59465,301.35,0.56,0.51,2022-08-31,0048,1,nominal,2.0NRT,289.67,1.05,N
44.59929,20.97408,328.58,0.42,0.38,2022-08-31,0048,1,nominal,2.0NRT,289.1,2.62,N
44.59831,20.97929,312.41,0.42,0.38,2022-08-31,0048,1,nominal,2.0NRT,288.38,2.62,N
44.5959,20.97285,322.71,0.42,0.38,2022-08-31,0048,1,nominal,2.0NRT,287.93,2.62,N
45.91416,5.82039,298.83,0.35,0.57,2022-08-31,0048,1,nominal,2.0NRT,285.5,0.83,N
45.63979,9.60149,304.26,0.45,0.47,2022-08-31,0048,1,nominal,2.0NRT,286.81,1.23,N
45.63834,9.60147,306,0.45,0.47,2022-08-31,0048,1,nominal,2.0NRT,287.54,1.25,N
44.52602,18.52744,297.27,0.39,0.36,2022-08-31,0048,1,nominal,2.0NRT,286.54,0.3,N
41.18271,32.63282,301.16,0.56,0.69,2022-08-31,0048,1,nominal,2.0NRT,289.16,1.35,N
43.90911,21.51303,299.75,0.45,0.39,2022-08-31,0048,1,nominal,2.0NRT,285.82,0.43,N
43.90987,21.51194,303.33,0.45,0.39,2022-08-31,0048,1,nominal,2.0NRT,285.96,1.03,N
45.81467,0.29525,304.57,0.65,0.73,2022-08-31,0048,1,nominal,2.0NRT,283.55,1.33,N
45.8147,0.30384,297.86,0.64,0.72,2022-08-31,0048,1,nominal,2.0NRT,284.16,1.33,N
45.81246,0.29603,307.05,0.64,0.72,2022-08-31,0048,1,nominal,2.0NRT,283.79,2.14,N
41.26532,31.42193,308.12,0.48,0.65,2022-08-31,0048,1,nominal,2.0NRT,288.25,1.62,N
41.26369,31.42731,302.78,0.49,0.65,2022-08-31,0048,1,nominal,2.0NRT,288.64,1.62,N
41.25579,31.41069,306.53,0.48,0.65,2022-08-31,0048,1,nominal,2.0NRT,287.25,2.48,N
41.26752,31.4219,308.64,0.49,0.65,2022-08-31,0048,1,nominal,2.0NRT,288.31,3.17,N
41.26033,31.42439,298.65,0.49,0.65,2022-08-31,0048,1,nominal,2.0NRT,287.82,1.2,N
41.25874,31.42976,298.62,0.49,0.65,2022-08-31,0048,1,nominal,2.0NRT,287.77,1.2,N
41.25796,31.41064,301.55,0.48,0.65,2022-08-31,0048,1,nominal,2.0NRT,287.44,2.59,N
45.14872,9.93959,300.45,0.43,0.46,2022-08-31,0048,1,nominal,2.0NRT,284.19,5.49,N
45.14449,9.93882,337.37,0.43,0.46,2022-08-31,0048,1,nominal,2.0NRT,282.77,5.49,N
45.14402,9.94436,313.78,0.43,0.46,2022-08-31,0048,1,nominal,2.0NRT,283.31,5.49,N
44.11688,18.11387,299.83,0.39,0.36,2022-08-31,0048,1,nominal,2.0NRT,287.49,0.62,N
42.71433,24.17138,329.66,0.4,0.44,2022-08-31,0048,1,nominal,2.0NRT,284.67,3.65,N
44.20512,15.93009,309.63,0.4,0.37,2022-08-31,0048,1,nominal,2.0NRT,290.44,1,N
44.38779,7.9452,301.5,0.53,0.5,2022-08-31,0048,1,nominal,2.0NRT,285.11,1.11,N
44.38945,7.94588,301.59,0.53,0.5,2022-08-31,0048,1,nominal,2.0NRT,285.1,1.8,N
43.22344,17.32221,319.51,0.38,0.36,2022-08-31,0048,1,nominal,2.0NRT,289.13,1.59,N
43.22271,17.32687,302.23,0.38,0.36,2022-08-31,0048,1,nominal,2.0NRT,289.28,1.15,N
43.22049,17.34085,308.99,0.38,0.36,2022-08-31,0048,1,nominal,2.0NRT,289.89,1.05,N
43.21976,17.34551,302.14,0.38,0.36,2022-08-31,0048,1,nominal,2.0NRT,288.97,0.35,N
43.22019,17.32125,322.92,0.38,0.36,2022-08-31,0048,1,nominal,2.0NRT,289.76,2.11,N
43.21945,17.32591,302.04,0.38,0.36,2022-08-31,0048,1,nominal,2.0NRT,288.18,0.48,N
43.2165,17.34455,308.12,0.38,0.36,2022-08-31,0048,1,nominal,2.0NRT,290.25,0.69,N
43.21576,17.34921,303.48,0.38,0.36,2022-08-31,0048,1,nominal,2.0NRT,289.43,0.69,N
40.18618,29.22423,299.39,0.41,0.6,2022-08-31,0048,1,nominal,2.0NRT,288.54,0.46,N
43.79456,7.37312,304.09,0.56,0.51,2022-08-31,0048,1,nominal,2.0NRT,288.16,1.51,N
43.79403,7.3738,304.09,0.56,0.51,2022-08-31,0048,1,nominal,2.0NRT,287.84,1.6,N
40.44709,27.13095,312.68,0.63,0.54,2022-08-31,0048,1,nominal,2.0NRT,289.93,3.68,N
39.48574,30.04032,304.4,0.47,0.64,2022-08-31,0048,1,nominal,2.0NRT,286.35,1.05,N
43.44968,4.89604,312.05,0.37,0.58,2022-08-31,0048,1,nominal,2.0NRT,290.7,2.34,N
43.44431,4.89555,330.3,0.37,0.58,2022-08-31,0048,1,nominal,2.0NRT,291.14,2.34,N
43.4441,4.90017,326.15,0.37,0.58,2022-08-31,0048,1,nominal,2.0NRT,291.45,2.34,N
43.43935,4.88571,302.25,0.37,0.58,2022-08-31,0048,1,nominal,2.0NRT,290.76,1.36,N
43.43914,4.89037,304.87,0.37,0.58,2022-08-31,0048,1,nominal,2.0NRT,291.31,1.36,N
43.43356,4.89451,308.77,0.37,0.58,2022-08-31,0048,1,nominal,2.0NRT,291.27,1.1,N
43.43335,4.89913,303.73,0.37,0.58,2022-08-31,0048,1,nominal,2.0NRT,290.95,1.1,N
41.5027,19.74422,304.26,0.43,0.38,2022-08-31,0050,1,nominal,2.0NRT,289.31,0.9,N
39.86631,26.24069,303.82,0.58,0.52,2022-08-31,0050,1,nominal,2.0NRT,290.04,1.67,N
40.28642,23.44564,304.18,0.41,0.45,2022-08-31,0050,1,nominal,2.0NRT,290.46,0.73,N
40.28385,23.44319,302.43,0.41,0.45,2022-08-31,0050,1,nominal,2.0NRT,290.08,0.74,N
38.75336,26.95111,315.34,0.34,0.56,2022-08-31,0050,1,nominal,2.0NRT,292.35,1.43,N
38.73869,26.94464,315.86,0.34,0.56,2022-08-31,0050,1,nominal,2.0NRT,293.17,1.72,N
38.73394,26.96301,307.9,0.34,0.56,2022-08-31,0050,1,nominal,2.0NRT,291.51,0.68,N
40.62871,17.9981,307.41,0.4,0.37,2022-08-31,0050,1,nominal,2.0NRT,291.03,0.68,N
40.62791,18.0027,301.75,0.4,0.37,2022-08-31,0050,1,nominal,2.0NRT,290.94,0.59,N
38.455,27.26105,305.32,0.36,0.57,2022-08-31,0050,1,nominal,2.0NRT,292.39,0.81,N
38.45412,27.26101,304.56,0.36,0.57,2022-08-31,0050,1,nominal,2.0NRT,292.29,0.63,N
38.42717,27.21486,308.15,0.36,0.57,2022-08-31,0050,1,nominal,2.0NRT,292.87,0.65,N
40.5184,17.20746,315.81,0.39,0.36,2022-08-31,0050,1,nominal,2.0NRT,294.64,2.31,N
40.51438,17.21104,308.71,0.39,0.36,2022-08-31,0050,1,nominal,2.0NRT,293.55,0.79,N
40.51036,17.21463,305.7,0.39,0.36,2022-08-31,0050,1,nominal,2.0NRT,293.34,0.79,N
40.50783,17.2092,321.34,0.39,0.36,2022-08-31,0050,1,nominal,2.0NRT,294.67,1.53,N
40.50708,17.2137,305.35,0.39,0.36,2022-08-31,0050,1,nominal,2.0NRT,293.64,1.53,N
40.50975,17.17675,302.69,0.39,0.36,2022-08-31,0050,1,nominal,2.0NRT,292.13,0.45,N
