latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
52.84087,29.99679,304.6,1.34,1.15,2022-08-31,0003,A,61,6.1NRT,286.2,12.59,N
51.4628,29.56849,301.59,1.33,1.14,2022-08-31,0003,A,42,6.1NRT,287.71,8.99,N
51.3735,29.54072,308.74,1.33,1.14,2022-08-31,0003,A,30,6.1NRT,289.87,14,N
51.35945,29.51049,303.31,1.34,1.15,2022-08-31,0003,A,8,6.1NRT,288.19,9.71,N
45.36604,30.92861,308.77,1.04,1.02,2022-08-31,0003,A,63,6.1NRT,295.97,6.86,N
51.369,6.70907,308.86,1.14,1.07,2022-08-31,0139,A,76,6.1NRT,282.23,13.73,N
51.1725,3.81411,307.37,1.46,1.19,2022-08-31,0139,A,71,6.1NRT,287.79,16.78,N
48.27369,14.34088,304.11,1.34,1.15,2022-08-31,0139,A,59,6.1NRT,285.67,11.51,N
43.45144,4.90111,309.29,1.08,1.04,2022-08-31,0141,A,77,6.1NRT,291.84,9.85,N
42.35403,-6.35865,300.12,4.17,1.89,2022-08-31,0141,A,17,6.1NRT,282.48,54.85,N
37.27023,31.65118,316.68,1.86,1.33,2022-08-31,0807,T,42,6.1NRT,303.2,17.87,D
36.83896,34.94244,323.25,1.21,1.09,2022-08-31,0807,T,62,6.1NRT,306.42,11.63,D
47.38676,33.7873,322.76,1.86,1.33,2022-08-31,0803,T,61,6.1NRT,300.49,25.06,D
47.2932,33.66565,321.2,1.89,1.34,2022-08-31,0803,T,32,6.1NRT,301.22,17.2,D
47.27571,33.7384,345.02,1.87,1.34,2022-08-31,0803,T,91,6.1NRT,301.63,100.94,D
47.2739,33.7631,340.19,1.86,1.33,2022-08-31,0803,T,88,6.1NRT,302.05,81.68,D
47.26367,33.73658,362.93,1.87,1.34,2022-08-31,0803,T,100,6.1NRT,300.75,209.66,D
47.26189,33.76128,324.65,1.86,1.33,2022-08-31,0803,T,71,6.1NRT,297.01,31.71,D
