latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
46.06979,13.63111,297.87,0.58,0.52,2022-09-04,0024,N,nominal,2.0NRT,283.65,0.99,N
45.46414,10.45491,310.62,0.41,0.6,2022-09-04,0024,N,nominal,2.0NRT,286.45,1.58,N
44.59884,20.97644,306.69,0.42,0.38,2022-09-04,0024,N,nominal,2.0NRT,279.87,0.84,N
45.45848,10.45438,338.37,0.41,0.6,2022-09-04,0024,N,nominal,2.0NRT,286.69,1.58,N
45.45829,10.45984,302.14,0.41,0.6,2022-09-04,0024,N,nominal,2.0NRT,286.37,1.58,N
45.42717,10.99922,305.8,0.38,0.59,2022-09-04,0024,N,nominal,2.0NRT,286.34,0.77,N
45.15117,9.94276,299.1,0.43,0.62,2022-09-04,0024,N,nominal,2.0NRT,286.78,0.72,N
45.14538,9.94231,333.92,0.43,0.62,2022-09-04,0024,N,nominal,2.0NRT,287.72,3.73,N
43.2823,23.464,298.91,0.38,0.36,2022-09-04,0024,N,nominal,2.0NRT,286.09,0.58,N
42.55534,27.34109,297.06,0.45,0.39,2022-09-04,0024,N,nominal,2.0NRT,286.97,1.35,N
41.18146,32.63175,299.63,0.55,0.51,2022-09-04,0024,N,nominal,2.0NRT,289.05,2,N
41.17538,32.63606,303.79,0.55,0.51,2022-09-04,0024,N,nominal,2.0NRT,289.61,1.19,N
42.7149,24.17166,346.06,0.39,0.36,2022-09-04,0024,N,nominal,2.0NRT,289.72,6.76,N
42.71643,24.16233,302.64,0.39,0.36,2022-09-04,0024,N,nominal,2.0NRT,284.36,0.8,N
41.26466,31.4251,300.41,0.48,0.48,2022-09-04,0024,N,nominal,2.0NRT,288.78,1.32,N
41.26336,31.43058,314.66,0.48,0.48,2022-09-04,0024,N,nominal,2.0NRT,290.78,1.32,N
42.45654,20.93717,295.39,0.41,0.37,2022-09-04,0024,N,nominal,2.0NRT,282.03,0.22,N
43.44648,4.8894,306.16,0.75,0.77,2022-09-04,0024,N,nominal,2.0NRT,286.57,2.67,N
43.44655,4.89919,308.82,0.75,0.77,2022-09-04,0024,N,nominal,2.0NRT,286.24,2.67,N
43.43213,4.89919,300.99,0.75,0.77,2022-09-04,0024,N,nominal,2.0NRT,285.86,3.14,N
42.01574,21.46719,310.77,0.4,0.37,2022-09-04,0024,N,nominal,2.0NRT,285.07,1.54,N
39.83791,30.30072,299.3,0.45,0.47,2022-09-04,0024,N,nominal,2.0NRT,287.95,0.88,N
40.4439,27.13529,301.09,0.48,0.4,2022-09-04,0026,N,nominal,2.0NRT,291.02,2.21,N
40.44283,27.14079,306.83,0.48,0.4,2022-09-04,0026,N,nominal,2.0NRT,290.57,2.16,N
39.48477,30.04034,305.43,0.45,0.47,2022-09-04,0026,N,nominal,2.0NRT,287.78,1.24,N
39.86531,26.24546,306.08,0.45,0.39,2022-09-04,0026,N,nominal,2.0NRT,292.59,0.78,N
38.65703,30.6181,301.64,0.5,0.49,2022-09-04,0026,N,nominal,2.0NRT,287.56,1.22,N
40.6265,18.00152,304.52,0.48,0.4,2022-09-04,0026,N,nominal,2.0NRT,290.05,1.14,N
38.62934,29.46551,299.43,0.44,0.46,2022-09-04,0026,N,nominal,2.0NRT,288.98,3.4,N
38.62522,29.46396,338.5,0.44,0.46,2022-09-04,0026,N,nominal,2.0NRT,289.06,3.4,N
40.52065,17.20737,311.86,0.52,0.41,2022-09-04,0026,N,nominal,2.0NRT,292.61,1.33,N
40.51684,17.20661,302.92,0.52,0.41,2022-09-04,0026,N,nominal,2.0NRT,291.75,1.33,N
40.50855,17.21125,316.17,0.52,0.41,2022-09-04,0026,N,nominal,2.0NRT,292.56,2.61,N
40.50407,17.21663,334.7,0.52,0.41,2022-09-04,0026,N,nominal,2.0NRT,293.18,2.75,N
40.50474,17.21052,303.92,0.52,0.41,2022-09-04,0026,N,nominal,2.0NRT,292.59,2.75,N
40.55937,16.50389,304.36,0.56,0.43,2022-09-04,0026,N,nominal,2.0NRT,290.1,1.17,N
38.75426,26.951,310.29,0.5,0.41,2022-09-04,0026,N,nominal,2.0NRT,293.73,1.17,N
38.72458,26.93964,313.53,0.5,0.41,2022-09-04,0026,N,nominal,2.0NRT,293.2,1.4,N
39.38609,22.807,302.35,0.39,0.36,2022-09-04,0026,N,nominal,2.0NRT,291.5,0.88,N
39.35363,22.98384,308.4,0.39,0.36,2022-09-04,0026,N,nominal,2.0NRT,293.42,1.31,N
38.4251,27.21425,306.27,0.52,0.42,2022-09-04,0026,N,nominal,2.0NRT,293.35,1.45,N
37.25399,30.44225,300.08,0.53,0.5,2022-09-04,0026,N,nominal,2.0NRT,289.88,0.45,N
38.37266,24.06091,305.87,0.41,0.37,2022-09-04,0026,N,nominal,2.0NRT,292.63,0.87,N
38.12829,23.5225,311.89,0.4,0.37,2022-09-04,0026,N,nominal,2.0NRT,292.96,1.4,N
38.79264,15.20582,306.04,0.41,0.45,2022-09-04,0026,N,nominal,2.0NRT,289.57,1.03,N
38.64386,15.90512,303.12,0.56,0.43,2022-09-04,0026,N,nominal,2.0NRT,291.28,1.03,N
38.09035,12.74619,331.7,0.54,0.51,2022-09-04,0026,N,nominal,2.0NRT,294.1,3.55,N
38.09086,12.73994,307.38,0.54,0.51,2022-09-04,0026,N,nominal,2.0NRT,292.8,2.52,N
38.08982,12.7529,313.25,0.54,0.51,2022-09-04,0026,N,nominal,2.0NRT,292.7,3.55,N
38.08609,12.74026,338.54,0.54,0.51,2022-09-04,0026,N,nominal,2.0NRT,293.37,19.88,N
38.0856,12.74631,345.06,0.54,0.51,2022-09-04,0026,N,nominal,2.0NRT,297.33,8.86,N
38.08512,12.75231,336.46,0.54,0.51,2022-09-04,0026,N,nominal,2.0NRT,294.04,8.86,N
38.08085,12.74647,348.03,0.54,0.51,2022-09-04,0026,N,nominal,2.0NRT,293.51,8.86,N
38.08041,12.75204,304.74,0.54,0.51,2022-09-04,0026,N,nominal,2.0NRT,292.71,8.86,N
37.9282,13.26177,323.94,0.5,0.49,2022-09-04,0026,N,nominal,2.0NRT,289.66,2.39,N
37.92871,13.25564,310.71,0.5,0.49,2022-09-04,0026,N,nominal,2.0NRT,289.07,2.39,N
37.74734,14.99841,299.72,0.41,0.45,2022-09-04,0026,N,nominal,2.0NRT,283.53,0.65,N
37.87427,13.18868,319.29,0.51,0.49,2022-09-04,0026,N,nominal,2.0NRT,289.53,1.72,N
37.86967,13.18859,305.77,0.51,0.49,2022-09-04,0026,N,nominal,2.0NRT,288.64,1.25,N
37.8745,13.18655,319.65,0.51,0.49,2022-09-04,0026,N,nominal,2.0NRT,289.51,1.59,N
37.86988,13.18647,301.74,0.51,0.49,2022-09-04,0026,N,nominal,2.0NRT,288.29,1.59,N
37.86013,13.02843,301.68,0.52,0.5,2022-09-04,0026,N,nominal,2.0NRT,290.2,1.21,N
37.84278,13.06888,305.8,0.51,0.5,2022-09-04,0026,N,nominal,2.0NRT,290.3,1.08,N
37.83251,13.19139,300.3,0.51,0.49,2022-09-04,0026,N,nominal,2.0NRT,289.17,0.82,N
37.74852,13.04269,304.06,0.51,0.5,2022-09-04,0026,N,nominal,2.0NRT,289.32,0.69,N
37.44055,15.03115,298.04,0.4,0.44,2022-09-04,0026,N,nominal,2.0NRT,275.24,0.53,N
37.43645,15.03049,323.56,0.4,0.44,2022-09-04,0026,N,nominal,2.0NRT,274.07,1.42,N
37.54546,13.31936,301.57,0.49,0.49,2022-09-04,0026,N,nominal,2.0NRT,289.72,0.35,N
37.54482,13.31897,303.3,0.49,0.49,2022-09-04,0026,N,nominal,2.0NRT,290.05,1.06,N
37.33583,14.32345,341.62,0.43,0.46,2022-09-04,0026,N,nominal,2.0NRT,291.2,6.42,N
35.35109,5.75973,310.22,0.62,0.71,2022-09-04,0026,N,nominal,2.0NRT,287.37,2.04,N
35.348,5.76048,312.07,0.62,0.71,2022-09-04,0026,N,nominal,2.0NRT,288.13,1.69,N
66.30946,14.17577,306.72,0.37,0.58,2022-09-04,0018,N,nominal,2.0NRT,277.07,0.9,N
66.30904,14.17877,296.69,0.37,0.58,2022-09-04,0018,N,nominal,2.0NRT,275.75,1.14,N
65.76313,24.18287,311.81,0.39,0.44,2022-09-04,0018,N,nominal,2.0NRT,277.53,1.99,N
63.31622,9.14121,299.69,0.52,0.67,2022-09-04,0020,N,nominal,2.0NRT,278.72,1.73,N
60.5222,28.12657,313.27,0.41,0.37,2022-09-04,0020,N,nominal,2.0NRT,258.21,0.74,N
60.15345,30.26789,337.09,0.39,0.36,2022-09-04,0020,N,nominal,2.0NRT,276.71,5.36,N
59.38567,28.45929,304.28,0.4,0.37,2022-09-04,0020,N,nominal,2.0NRT,278.92,0.86,N
58.35826,12.37571,308.74,0.4,0.6,2022-09-04,0020,N,nominal,2.0NRT,281.97,1.14,N
58.36119,12.37507,304.93,0.4,0.6,2022-09-04,0020,N,nominal,2.0NRT,281.6,1.37,N
57.06315,9.97281,310.72,0.48,0.65,2022-09-04,0020,N,nominal,2.0NRT,271.73,1.61,N
55.50379,28.58813,298.44,0.38,0.36,2022-09-04,0020,N,nominal,2.0NRT,276.68,0.75,N
55.4848,28.5982,340.98,0.38,0.36,2022-09-04,0020,N,nominal,2.0NRT,277.27,4.66,N
53.44431,34.41681,324.68,0.5,0.41,2022-09-04,0022,N,nominal,2.0NRT,282.59,3.6,N
53.4434,34.41749,328.35,0.5,0.41,2022-09-04,0022,N,nominal,2.0NRT,283.74,3.96,N
52.80548,32.2223,300.14,0.44,0.39,2022-09-04,0022,N,nominal,2.0NRT,276.99,0.96,N
53.98716,20.71259,306.57,0.53,0.42,2022-09-04,0022,N,nominal,2.0NRT,276.98,1.54,N
53.525,9.89893,305.31,0.47,0.64,2022-09-04,0022,N,nominal,2.0NRT,282.15,1.38,N
