latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
65.76884,24.19169,344.92,0.49,0.41,2022-08-29,0030,N,nominal,2.0NRT,284.45,6.65,N
65.76517,24.18956,328.26,0.49,0.41,2022-08-29,0030,N,nominal,2.0NRT,286,6.65,N
65.76621,24.17884,301.49,0.49,0.41,2022-08-29,0030,N,nominal,2.0NRT,280.57,4.06,N
65.56473,22.21077,316.64,0.54,0.42,2022-08-29,0030,N,nominal,2.0NRT,281.72,2.61,N
65.56375,22.22251,313.89,0.54,0.42,2022-08-29,0030,N,nominal,2.0NRT,281.74,2.85,N
64.65578,24.43095,299.93,0.47,0.4,2022-08-29,0033,N,nominal,2.0NRT,283.95,0.49,N
64.645,24.42481,312.66,0.47,0.4,2022-08-29,0033,N,nominal,2.0NRT,284.5,1.87,N
64.66423,21.27634,295.19,0.56,0.43,2022-08-29,0033,N,nominal,2.0NRT,280.79,1.67,N
64.66245,21.28133,302.4,0.56,0.43,2022-08-29,0033,N,nominal,2.0NRT,283.16,1.53,N
59.9141,32.35759,302.36,0.41,0.37,2022-08-29,0033,N,nominal,2.0NRT,286.6,0.86,N
60.52315,28.13153,339.19,0.39,0.36,2022-08-29,0033,N,nominal,2.0NRT,295.33,10.01,N
60.5242,28.12471,310.11,0.39,0.36,2022-08-29,0033,N,nominal,2.0NRT,287.36,10.01,N
60.51994,28.12951,337.68,0.39,0.36,2022-08-29,0033,N,nominal,2.0NRT,289.49,10.01,N
60.52098,28.12268,307.69,0.39,0.36,2022-08-29,0033,N,nominal,2.0NRT,287.15,10.01,N
59.71081,28.43563,313.46,0.38,0.36,2022-08-29,0033,N,nominal,2.0NRT,289.94,0.96,N
59.3866,28.45945,310.5,0.38,0.36,2022-08-29,0033,N,nominal,2.0NRT,288.79,1.51,N
59.64645,6.36049,295.75,0.5,0.66,2022-08-29,0033,N,nominal,2.0NRT,281.85,0.94,N
58.35947,12.3714,308.57,0.61,0.53,2022-08-29,0033,N,nominal,2.0NRT,283.96,2.61,N
58.35907,12.3821,307.82,0.61,0.53,2022-08-29,0033,N,nominal,2.0NRT,282.55,1.81,N
55.50334,28.58946,298.71,0.4,0.37,2022-08-29,0035,N,nominal,2.0NRT,285,0.47,N
57.06181,9.9743,332.47,0.37,0.58,2022-08-29,0035,N,nominal,2.0NRT,287.6,1.82,N
57.06168,9.98056,298.53,0.37,0.58,2022-08-29,0035,N,nominal,2.0NRT,283.43,1.82,N
53.27094,24.44003,302.11,0.38,0.36,2022-08-29,0035,N,nominal,2.0NRT,283.44,0.38,N
53.25942,24.4471,299.89,0.38,0.36,2022-08-29,0035,N,nominal,2.0NRT,282.98,0.51,N
51.89,29.33822,297.9,0.47,0.39,2022-08-29,0035,N,nominal,2.0NRT,284.58,0.5,N
53.87497,9.58351,301.86,0.36,0.58,2022-08-29,0035,N,nominal,2.0NRT,286.34,0.91,N
51.46185,29.57069,303.96,0.48,0.4,2022-08-29,0035,N,nominal,2.0NRT,289.49,1.66,N
51.4576,29.55343,310.27,0.48,0.4,2022-08-29,0035,N,nominal,2.0NRT,291.38,2.4,N
51.45335,29.57355,312.32,0.48,0.4,2022-08-29,0035,N,nominal,2.0NRT,291.87,2.32,N
51.44982,29.57162,311.94,0.48,0.4,2022-08-29,0035,N,nominal,2.0NRT,290.81,1.78,N
51.38895,29.52371,306.51,0.48,0.4,2022-08-29,0035,N,nominal,2.0NRT,289.72,1.1,N
51.38541,29.5218,309.43,0.48,0.4,2022-08-29,0035,N,nominal,2.0NRT,290.52,1.1,N
51.38398,29.52847,299.93,0.48,0.4,2022-08-29,0035,N,nominal,2.0NRT,287.78,1.1,N
51.38684,29.52297,312.58,0.48,0.4,2022-08-29,0035,N,nominal,2.0NRT,291.08,1.88,N
51.3833,29.52104,304.61,0.48,0.4,2022-08-29,0035,N,nominal,2.0NRT,289.76,1.88,N
51.38189,29.52773,308.56,0.48,0.4,2022-08-29,0035,N,nominal,2.0NRT,289.13,1.64,N
51.37976,29.51912,299.11,0.48,0.4,2022-08-29,0035,N,nominal,2.0NRT,288.35,1.25,N
51.37622,29.5172,301.43,0.48,0.4,2022-08-29,0035,N,nominal,2.0NRT,288.07,1.25,N
51.3769,29.49524,302.64,0.48,0.4,2022-08-29,0035,N,nominal,2.0NRT,289.61,1.93,N
51.37549,29.50191,299.97,0.48,0.4,2022-08-29,0035,N,nominal,2.0NRT,289,1.93,N
51.37195,29.49999,324.94,0.48,0.4,2022-08-29,0035,N,nominal,2.0NRT,294.38,1.93,N
51.37476,29.48666,302.18,0.48,0.4,2022-08-29,0035,N,nominal,2.0NRT,288.03,1.82,N
51.37336,29.49332,317.18,0.48,0.4,2022-08-29,0035,N,nominal,2.0NRT,292.08,1.93,N
51.37055,29.50668,307.84,0.48,0.4,2022-08-29,0035,N,nominal,2.0NRT,288.59,1.73,N
51.36982,29.49142,344.39,0.48,0.4,2022-08-29,0035,N,nominal,2.0NRT,295.57,5.67,N
51.36842,29.49809,328.41,0.48,0.4,2022-08-29,0035,N,nominal,2.0NRT,292.44,5.67,N
51.37122,29.48474,305.98,0.48,0.4,2022-08-29,0035,N,nominal,2.0NRT,288.04,2.54,N
51.36701,29.50477,300.25,0.48,0.4,2022-08-29,0035,N,nominal,2.0NRT,286.08,0.86,N
49.95324,34.4079,309.27,0.53,0.5,2022-08-29,0035,N,nominal,2.0NRT,286.6,1.68,N
53.14128,8.67269,304.66,0.39,0.6,2022-08-29,0035,N,nominal,2.0NRT,282.44,1.05,N
53.13532,8.69061,309.06,0.39,0.59,2022-08-29,0035,N,nominal,2.0NRT,282.42,1.8,N
50.64486,29.27721,337.77,0.49,0.4,2022-08-29,0035,N,nominal,2.0NRT,285.4,4.55,N
52.35019,16.51762,298.01,0.56,0.43,2022-08-29,0035,N,nominal,2.0NRT,286.38,0.68,N
50.92068,26.68931,296.32,0.41,0.37,2022-08-29,0035,N,nominal,2.0NRT,284.43,0.48,N
52.49071,13.83894,297.62,0.47,0.48,2022-08-29,0035,N,nominal,2.0NRT,285.69,0.8,N
52.49394,4.60278,301.31,0.58,0.69,2022-08-29,0035,N,nominal,2.0NRT,264.74,2.13,N
52.17485,14.60972,307.68,0.44,0.46,2022-08-29,0035,N,nominal,2.0NRT,285.73,0.71,N
52.17436,14.61619,300.01,0.44,0.46,2022-08-29,0035,N,nominal,2.0NRT,287.11,0.94,N
52.17386,14.62264,298.04,0.44,0.46,2022-08-29,0035,N,nominal,2.0NRT,285.34,0.94,N
52.17058,14.60885,296.63,0.44,0.46,2022-08-29,0035,N,nominal,2.0NRT,284.84,0.71,N
52.16809,14.64119,296.41,0.44,0.46,2022-08-29,0035,N,nominal,2.0NRT,286.22,0.42,N
52.49538,4.60601,310.85,0.58,0.69,2022-08-29,0035,N,nominal,2.0NRT,264.3,1.13,N
52.46578,7.31519,298.99,0.44,0.63,2022-08-29,0035,N,nominal,2.0NRT,282.05,0.77,N
52.37342,9.87428,297.07,0.35,0.56,2022-08-29,0035,N,nominal,2.0NRT,283.37,0.65,N
52.35181,9.88795,300.38,0.35,0.56,2022-08-29,0035,N,nominal,2.0NRT,283.41,0.75,N
52.35337,9.88838,308.54,0.35,0.56,2022-08-29,0035,N,nominal,2.0NRT,284.07,1.1,N
48.53469,34.65066,302.84,0.59,0.53,2022-08-29,0035,N,nominal,2.0NRT,290.9,2.52,N
48.53016,34.64771,319.66,0.59,0.53,2022-08-29,0035,N,nominal,2.0NRT,289.1,2.52,N
48.51857,34.63155,310.62,0.59,0.53,2022-08-29,0035,N,nominal,2.0NRT,289.13,1.19,N
52.16561,10.41689,297.71,0.33,0.55,2022-08-29,0035,N,nominal,2.0NRT,283.77,0.99,N
52.16522,10.42678,316.28,0.33,0.55,2022-08-29,0035,N,nominal,2.0NRT,283.93,1.67,N
52.16046,10.41634,320.32,0.33,0.55,2022-08-29,0035,N,nominal,2.0NRT,285.45,1.76,N
52.16124,10.39663,303.33,0.33,0.55,2022-08-29,0035,N,nominal,2.0NRT,286.07,3.49,N
52.15589,10.40103,367,0.33,0.55,2022-08-29,0035,N,high,2.0NRT,288.29,3.49,N
52.1557,10.40596,317.07,0.33,0.55,2022-08-29,0035,N,nominal,2.0NRT,284.29,3.95,N
52.15075,10.40049,318.81,0.33,0.55,2022-08-29,0035,N,nominal,2.0NRT,284.59,1.73,N
48.47169,34.62706,299.58,0.59,0.53,2022-08-29,0035,N,nominal,2.0NRT,288.58,1.24,N
52.18906,8.36746,298.87,0.4,0.6,2022-08-29,0035,N,nominal,2.0NRT,280.59,0.44,N
52.18658,8.36571,304.77,0.4,0.6,2022-08-29,0035,N,nominal,2.0NRT,280.58,0.63,N
52.17447,7.88795,296.81,0.42,0.61,2022-08-29,0035,N,nominal,2.0NRT,282.87,0.46,N
51.68833,15.9813,333.51,0.57,0.43,2022-08-29,0035,N,nominal,2.0NRT,286.22,6.31,N
51.76794,8.05407,302.34,0.41,0.61,2022-08-29,0035,N,nominal,2.0NRT,284,1.35,N
51.76663,8.05272,307.23,0.41,0.61,2022-08-29,0035,N,nominal,2.0NRT,284.46,1.12,N
51.18339,16.11601,298.92,0.56,0.43,2022-08-29,0035,N,nominal,2.0NRT,285.38,0.88,N
51.59383,8.33201,300.11,0.4,0.6,2022-08-29,0035,N,nominal,2.0NRT,283.02,0.95,N
51.49215,6.73669,304.47,0.47,0.64,2022-08-29,0035,N,nominal,2.0NRT,275.79,2.1,N
51.48644,6.7015,301.98,0.47,0.64,2022-08-29,0035,N,nominal,2.0NRT,280.34,1.38,N
51.48638,6.70858,301.84,0.47,0.64,2022-08-29,0035,N,nominal,2.0NRT,280.39,1.38,N
51.48032,6.71527,297.92,0.47,0.64,2022-08-29,0035,N,nominal,2.0NRT,278.27,1.52,N
51.49025,6.73796,301.71,0.47,0.64,2022-08-29,0035,N,nominal,2.0NRT,275.56,0.92,N
51.4847,6.70285,305.81,0.47,0.64,2022-08-29,0035,N,nominal,2.0NRT,280.86,2,N
51.4846,6.7099,300,0.47,0.64,2022-08-29,0035,N,nominal,2.0NRT,279.94,0.84,N
51.48452,6.71684,300.52,0.47,0.64,2022-08-29,0035,N,nominal,2.0NRT,278.88,0.84,N
51.36649,10.47913,295.56,0.32,0.55,2022-08-29,0035,N,nominal,2.0NRT,284.15,0.43,N
51.26929,11.65723,303.5,0.57,0.52,2022-08-29,0035,N,nominal,2.0NRT,284.61,1.6,N
47.88478,33.44779,301.62,0.55,0.51,2022-08-29,0035,N,nominal,2.0NRT,289.38,1.03,N
